noun,total,Collective,Common,Count,Derived,Eventive,Mass,Pluralia Tantum,Singularia Tantum,Usually Verb,Verbalizable,Cluster
acquisition,0.82409081,0.0,0.93131781,0.87244526,0.0,0.96546489,0.0,0.0,0.0,-0.98103815,-0.96409899,0
acre,-0.77503711,0.0,0.81393105,0.87176779,0.0,0.0,0.41660896,0.0,0.0,-0.94369906,-1.93364584,0
acrylic,0.22061804,0.0,0.88272864,0.9400813,0.0,0.74699003,0.4842082,0.0,0.0,-0.93579239,-1.89759773,0
act,1.29796821,0.43280748,0.91437569,0.9176015,0.0,0.94793877,0.0,0.0,0.0,-0.95767164,-0.95708358,0
action,1.60298666,0.34816939,0.87322959,0.95599535,0.0,0.95025256,0.42779791,0.0,0.0,-0.98539627,-0.96706188,0
activation,0.91585672,0.35652047,0.89537489,0.92300215,0.0,0.97058955,0.45262003,0.0,0.0,-0.97143573,-1.71081465,0
activist,-1.2519106,0.42588139,0.7592558,0.70872495,0.0,0.29822347,0.0,-0.81345814,-0.75215924,-0.95766813,-0.92071068,2
activity,0.78340307,0.45728007,0.85009867,0.94372904,0.0,0.96652874,0.47159186,0.0,0.0,-0.9804011,-1.92542422,0
actor,-0.874441,0.0,0.75754535,0.71560347,0.0,0.34540209,0.3429997,-0.53410619,-0.615448,-0.94600558,-0.94043183,2
actress,-2.12051529,0.0,0.7579779,0.76317033,0.0,0.33263978,0.33258456,-0.79060829,-0.72523528,-0.8825382,-1.9085061,2
acupuncture,1.37337866,0.0,0.83386442,0.73816401,0.0,0.9530327,0.44639513,0.0,0.0,-0.97351998,-0.62455761,0
ad,0.4985657,0.0,0.94750389,0.91124332,0.0,0.86226285,0.3697468,0.0,0.0,-0.96998662,-1.62220454,0
adaptation,0.46781051,0.0,0.96213847,0.94965589,0.0,0.97189745,0.33320352,0.0,0.0,-0.941432,-1.80765283,0
adapter,1.47336811,0.40267617,0.96525294,0.93554699,0.0,0.71451429,0.36246279,0.0,0.0,-0.94553608,-0.96154898,0
addiction,0.54518741,0.29395607,0.91847804,0.9588373,0.0,0.87699458,0.39106399,0.0,0.0,-0.97406179,-1.92008078,0
addition,0.2451435,0.36867467,0.8896274,0.92600727,0.0,0.94763631,0.0,0.0,0.0,-0.98023015,-1.90657198,0
address,1.09979114,0.35739997,0.94455406,0.93873757,0.0,0.31931305,0.45789674,0.0,0.0,-0.94179308,-0.97631717,0
adjective,0.44744265,0.33038712,0.95849028,0.96284264,0.0,0.54002121,0.47755653,0.0,0.0,-0.91678673,-1.9050684,0
